Option Name	Fraction Operable [frac]	Open Fraction [frac]	Availability [days/week]	Seasons
None	0			
33% Operable Windows	0.33			
50% Operable Windows	0.5			
67% Operable Windows	0.67			
100% Operable Windows	1			
"Detailed Example: 67% Operable Windows, 5% Open, 3 Days/Week, Cooling Only"	0.67	0.05	3	cooling
				
"# Fraction Operable: Total window area for operable windows divided by total window area. The total open window area for natural ventilation is calculated using A) the operable fraction, B) the assumption that only some of the area of operable windows can be open, and C) the assumption that only some of that openable area is actually opened by occupants."				
# Open Fraction: Fraction of operable window area that is open during ventilation.				
# Availability: How many days per week windows can be opened by occupants.				
# Seasons: When during the year occupants open windows.				
