year,state,fuel,rate_dollar_per_mmbtu
2024,AK,fuel oil,24.52
2023,AK,fuel oil,27.97
2024,AK,electricity,72.75
2023,AK,electricity,70.04
2024,AK,natural gas,11.69
2023,AK,natural gas,11.42
2024,AK,propane,32.98
2023,AK,propane,33.62
2023,AK,wood,16.07
2022,AK,wood,17.58
2024,AL,fuel oil,19.81
2023,AL,fuel oil,22.59
2024,AL,electricity,44.48
2023,AL,electricity,42.86
2024,AL,natural gas,18.09
2023,AL,natural gas,19.54
2024,AL,propane,27.31
2023,AL,propane,27.86
2023,AL,wood,11.95
2022,AL,wood,13.07
2024,AR,fuel oil,20.28
2023,AR,fuel oil,23.14
2024,AR,electricity,36.1
2023,AR,electricity,35.91
2024,AR,natural gas,15.77
2023,AR,natural gas,17.53
2024,AR,propane,25.93
2023,AR,propane,26.46
2023,AR,wood,11.95
2022,AR,wood,13.07
2024,AZ,fuel oil,25.88
2023,AZ,fuel oil,29.51
2024,AZ,electricity,43.69
2023,AZ,electricity,41.09
2024,AZ,natural gas,19.92
2023,AZ,natural gas,18.9
2024,AZ,propane,31.25
2023,AZ,propane,31.88
2023,AZ,wood,16.07
2022,AZ,wood,17.58
2024,CA,fuel oil,26.28
2023,CA,fuel oil,29.98
2024,CA,electricity,93.69
2023,CA,electricity,86.49
2024,CA,natural gas,18.44
2023,CA,natural gas,21.13
2024,CA,propane,30.89
2023,CA,propane,31.52
2023,CA,wood,16.07
2022,CA,wood,17.58
2024,CO,fuel oil,22.66
2023,CO,fuel oil,25.84
2024,CO,electricity,43.72
2023,CO,electricity,41.9
2024,CO,natural gas,10.09
2023,CO,natural gas,11.38
2024,CO,propane,24.16
2023,CO,propane,24.67
2023,CO,wood,16.07
2022,CO,wood,17.58
2024,CT,fuel oil,21.64
2023,CT,fuel oil,24.97
2024,CT,electricity,84.25
2023,CT,electricity,87.58
2024,CT,natural gas,16.36
2023,CT,natural gas,18.34
2024,CT,propane,42.56
2023,CT,propane,42.19
2023,CT,wood,9.58
2022,CT,wood,10.47
2024,DC,fuel oil,25.46
2023,DC,fuel oil,29.21
2024,DC,electricity,51.9
2023,DC,electricity,48.2
2024,DC,natural gas,16.03
2023,DC,natural gas,16.25
2024,DC,propane,36.43
2023,DC,propane,35.22
2023,DC,wood,0.0
2022,DC,wood,0.0
2024,DE,fuel oil,25.63
2023,DE,fuel oil,29.51
2024,DE,electricity,48.55
2023,DE,electricity,46.11
2024,DE,natural gas,14.29
2023,DE,natural gas,17.11
2024,DE,propane,34.96
2023,DE,propane,33.21
2023,DE,wood,11.95
2022,DE,wood,13.07
2024,FL,fuel oil,24.54
2023,FL,fuel oil,28.06
2024,FL,electricity,41.43
2023,FL,electricity,44.57
2024,FL,natural gas,24.66
2023,FL,natural gas,24.51
2024,FL,propane,43.2
2023,FL,propane,42.25
2023,FL,wood,11.95
2022,FL,wood,13.07
2024,GA,fuel oil,24.08
2023,GA,fuel oil,27.54
2024,GA,electricity,41.27
2023,GA,electricity,40.12
2024,GA,natural gas,17.66
2023,GA,natural gas,18.53
2024,GA,propane,32.44
2023,GA,propane,31.74
2023,GA,wood,11.95
2022,GA,wood,13.07
2024,HI,fuel oil,25.49
2023,HI,fuel oil,29.07
2024,HI,electricity,125.63
2023,HI,electricity,124.25
